,Name,IT Company,Satisfaction Level,Number Of Project,Average Monthly Hours,Time Spend Company ,Work accident ,Left ,Promotion Last Five years ,Department,Salary
8/26/2023,Aarav Patel,Infosys,Low,2,157,3,No,Yes,No,sales,low
8/26/2023,Aisha Sharma,HCL,Very High,5,262,6,No,Yes,No,sales,medium
8/26/2023,Arjun Gupta,Tech Mahindra,Very Low,7,272,4,No,Yes,No,sales,medium
8/26/2023,Diya Singh,Cognizant,High,5,223,5,No,Yes,No,sales,low
8/26/2023,Ishaan Verma,Wipro,Low,2,159,3,No,Yes,No,sales,low
8/26/2023,Jiya Reddy,TCS,Medium,2,153,3,No,Yes,No,sales,low
8/26/2023,Kabir Malhotra,HCL,Very Low,6,247,4,No,Yes,No,sales,low
8/26/2023,Kavya Patel,TCS,Very High,5,259,5,No,Yes,No,sales,low
8/26/2023,Krish Kapoor,Infosys,Very High,5,224,5,No,Yes,No,sales,low
8/26/2023,Meera Joshi,Wipro,Medium,2,142,3,No,Yes,No,sales,low
8/26/2023,Nihar Khan,HCL Technologies,Medium,2,135,3,No,Yes,No,sales,low
8/26/2023,Riya Kumar,Infosys,Very Low,6,305,4,No,Yes,No,sales,low
8/26/2023,Rohan Nair,Tech Mahindra,Very High,4,234,5,No,Yes,No,sales,low
8/26/2023,Saanvi Shah,Cognizant,Medium,2,148,3,No,Yes,No,sales,low
8/26/2023,Shaan Choudhury,Accenture,Low,2,137,3,No,Yes,No,sales,low
8/26/2023,Siya Bhatia,Wipro,Low,2,143,3,No,Yes,No,sales,low
8/26/2023,Tanvi Singhania,Capgemini,Medium,2,160,3,No,Yes,No,sales,low
8/26/2023,Ved Agarwal,IBM,High,4,255,6,No,Yes,No,sales,low
8/26/2023,Zara Iyer,TCS,Medium,2,160,3,Yes,Yes,Yes,sales,low
8/26/2023,Zoya Srinivasan,Oracle,High,5,262,5,No,Yes,No,sales,low
8/26/2023,Radha Iyer,Capgemini,Very Low,6,282,4,No,Yes,No,sales,low
8/26/2023,Arnav Singh,Wipro,Low,2,147,3,No,Yes,No,sales,low
8/26/2023,Bhavesh Gupta,Accenture,Very Low,6,304,4,No,Yes,No,sales,low
